recipe_id,recipe_name,ingredients,nutritions,veg_nonveg,diet_goal,health_score,image_link,steps,user_id,rating
30,Dibba Rotti (Andhra Minapa Rotti),"urad dal (minapa pappu), idli rava (rice semolina), ginger, green chilies, cumin seeds, oil/ghee, salt","{'calories': 280, 'protein_g': 10, 'carbs_g': 40, 'fat_g': 8}",Veg,Traditional Breakfast / Snack,80,https://th.bing.com/th/id/OIP.UdO57dDx3Si20fftxSA3agHaE8?w=261&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak urad dal overnight. Grind it into a thick, fluffy batter (like for idli). Soak idli rava separately for 10 minutes and squeeze out excess water. Mix it into the urad dal batter. Add finely chopped ginger, green chilies, cumin seeds, and salt to the batter. Mix well. Heat a deep, heavy-bottomed pan (like a cast iron skillet) and generously grease it with oil/ghee. Pour the batter into the pan (about 1.5 inches thick). Cover and cook on very low heat for 20-25 minutes until the bottom is golden brown and crisp. Flip the rotti and cook the other side (covered or uncovered) until completely cooked through and golden. Cut into wedges and serve with a chutney or sambar.",user_9,3
31,Tamarind Rice (Chintapandu Pulihora),"rice, tamarind pulp, peanuts, chana dal, urad dal, mustard seeds, red chilies (dried), curry leaves, turmeric, sesame oil, salt","{'calories': 350, 'protein_g': 8, 'carbs_g': 55, 'fat_g': 12}",Veg,Festive / Traditional,75,https://th.bing.com/th/id/OIP.sUixntasB6wrJVR8Kw1AXgHaE8?w=294&h=196&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cook rice and let it cool completely, spreading it out to prevent stickiness. Mix the thick tamarind pulp with turmeric and salt in a bowl. Heat sesame oil in a large pan. Add peanuts and fry until golden. Remove and set aside. In the same oil, add chana dal, urad dal, mustard seeds, dried red chilies, and curry leaves for tempering. Once the seeds splutter, add the tamarind-turmeric mixture to the pan. Cook until the raw smell of tamarind is gone and the mixture thickens. Mix the cooked tamarind paste and fried peanuts into the cooled rice gently, ensuring the rice is coated evenly without mashing. Serve at room temperature.",user_0,2
32,Tomato Pappu (Andhra Tomato Dal),"toor dal, tomatoes, green chilies, onion, turmeric, ghee, mustard seeds, cumin seeds, red chilies (dried), garlic, salt, cilantro","{'calories': 290, 'protein_g': 14, 'carbs_g': 40, 'fat_g': 8}",Veg,Daily Staple / Balanced,85,https://th.bing.com/th/id/OIP.A3fE4yjurbNdc8amkjOBOgHaLG?w=115&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash toor dal. Pressure cook the dal with chopped tomatoes, green chilies, chopped onion, and turmeric until soft. Mash the dal gently and mix in salt. Heat ghee for tempering. Add mustard seeds, cumin seeds, dried red chilies, crushed garlic, and curry leaves. Once the tempering splutters, pour it over the cooked dal and mix well. Garnish with chopped cilantro and serve with rice or roti.",user_1,4
33,Aloo Vepudu (Andhra Potato Fry),"potatoes, oil, mustard seeds, urad dal, chana dal, curry leaves, red chili powder, turmeric, garlic powder (optional), salt","{'calories': 300, 'protein_g': 5, 'carbs_g': 45, 'fat_g': 12}",Veg,Side Dish / Quick Meal,70,https://th.bing.com/th/id/OIP.Ygn_jIF4v15xceGhrKgfNAHaE8?w=279&h=186&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Peel and chop potatoes into small, even cubes. Boil or steam them until about 80% cooked. Heat oil in a wide pan/kadai. Add mustard seeds, urad dal, chana dal, and curry leaves for tempering. Add the par-boiled potato cubes to the pan and fry on medium-high heat until they start to brown and crisp. Stir in turmeric, red chili powder, garlic powder (if using), and salt. Mix well to coat the potatoes. Continue to fry for another 5-7 minutes until the potatoes are fully cooked and crispy. Serve as a spicy, crispy side dish for dal and rice.",user_2,2
34,Coconut Chutney (Kobbari Pachadi),"fresh grated coconut, chana dal (roasted), ginger, green chilies, tamarind pulp, salt, oil, mustard seeds, urad dal, curry leaves","{'calories': 180, 'protein_g': 5, 'carbs_g': 15, 'fat_g': 12}",Veg,Accompaniment / Quick,85,https://th.bing.com/th/id/OIP.yh6Ujc-IswE-rU7kb4PfMwHaE7?w=241&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Combine grated coconut, roasted chana dal, ginger, green chilies, tamarind, and salt in a blender. Add a little water and blend to a smooth, thick consistency. Heat a small pan with oil for tempering. Add mustard seeds, urad dal, and curry leaves. Once the tempering splutters, pour it over the chutney and mix gently. Serve as a classic accompaniment to idli, dosa, or pesarattu.",user_3,4
35,Lemon Rice (Nimmakaya Pulihora),"rice, lemon juice, peanuts, chana dal, urad dal, mustard seeds, green chilies, curry leaves, turmeric, oil, salt","{'calories': 300, 'protein_g': 7, 'carbs_g': 50, 'fat_g': 8}",Veg,Quick Meal / Refreshing,80,https://tse2.mm.bing.net/th/id/OIP.swtdKVF0vUHqxs0MDqBt4wHaE8?rs=1&pid=ImgDetMain&o=7&rm=3,"Cook rice and let it cool completely, spreading it out to prevent stickiness. Heat oil in a pan. Fry peanuts until golden. Remove and set aside. In the same oil, add chana dal, urad dal, mustard seeds, and sliced green chilies for tempering. Once the seeds splutter, add curry leaves and a pinch of asafoetida (hing, optional). Stir in turmeric powder. Mix the cooled rice with salt, lemon juice, the tempering mixture, and fried peanuts. Mix gently. Serve at room temperature.",user_4,4
36,Punugulu (Rice & Urad Dal Fritters),"idli/dosa batter, rice flour (optional), onion, ginger, green chilies, cumin seeds, oil (for frying), salt","{'calories': 250, 'protein_g': 7, 'carbs_g': 35, 'fat_g': 9}",Veg,Snack / Street Food,65,https://th.bing.com/th/id/OIP.7hbueaD0MNRnoIoG6bImPwHaLG?w=115&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Take the idli/dosa batter (should be thick). If too thin, add a tablespoon of rice flour. Finely chop onion, ginger, and green chilies. Add them to the batter along with cumin seeds and salt. Heat oil in a deep pan for frying. Drop small spoonfuls of the batter into the hot oil. Fry until golden brown and crispy, turning them occasionally. Drain excess oil and serve hot with peanut or coconut chutney.",user_5,5
37,Mamidikaya Pappu (Raw Mango Dal),"toor dal, raw mango, green chilies, turmeric powder, ghee, mustard seeds, cumin seeds, red chilies (dried), curry leaves, salt","{'calories': 300, 'protein_g': 15, 'carbs_g': 40, 'fat_g': 9}",Veg,Daily Staple / Tangy,87,https://th.bing.com/th/id/OIP.JVSzJejwnuzruw1k0z2vBgHaGk?w=210&h=186&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash toor dal. Peel and chop the raw mango into small pieces. Pressure cook the dal, mango, sliced green chilies, and turmeric powder with water until well mashed. Mash the mixture gently and stir in salt. Heat ghee for tempering. Add mustard seeds, cumin seeds, dried red chilies, and curry leaves. Pour the tempering over the cooked dal and mix well. Serve hot with rice and a dollop of ghee.",user_6,5
38,Mirapakaya Bajji (Chili Fritters),"large green chilies (bajji mirchi), besan (chickpea flour), rice flour, baking soda, ginger-garlic paste, carom seeds (ajwain), oil (for frying), salt","{'calories': 250, 'protein_g': 8, 'carbs_g': 30, 'fat_g': 11}",Veg,Spicy Snack / Fried,60,https://th.bing.com/th/id/OIP.LbiAzqQ96oWoc49xbhX9vwHaE8?w=204&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Slit the chilies lengthwise and remove the seeds (optional). Mix besan, rice flour, baking soda, ginger-garlic paste, carom seeds, and salt with water to form a thick, smooth batter. Heat oil in a pan for deep frying. Dip each chili in the batter to coat thoroughly. Gently drop the battered chilies into the hot oil. Fry until golden brown and crispy, turning them as needed. Drain and serve hot, often stuffed with a mixture of chopped onion and lemon juice.",user_7,3
39,Sunnundalu (Urad Dal Jaggery Laddu),"urad dal (whole/split), jaggery, ghee (clarified butter)","{'calories': 150, 'protein_g': 5, 'carbs_g': 20, 'fat_g': 7}",Veg,Traditional Sweet / High Protein,75,https://th.bing.com/th/id/OIP.L4gWjbtH9-L2YURU853vbgHaJZ?w=158&h=200&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Dry roast the urad dal on low heat until it turns light brown and aromatic. Let it cool completely. Grind the cooled urad dal into a fine powder. In a separate mixer, grind the jaggery into a fine powder. Mix the urad dal powder and jaggery powder well in a large bowl. Melt the ghee and gradually add it to the mixture, mixing quickly. While the mixture is still warm, shape it tightly into small round laddus. Store in an airtight container.",user_8,5
40,Chicken Biryani (Andhra Style),"basmati rice, chicken (bone-in), curd/yogurt, ginger-garlic paste, biryani masala, chili powder, turmeric, onion, mint, cilantro, oil/ghee, saffron/food color, salt","{'calories': 550, 'protein_g': 40, 'carbs_g': 55, 'fat_g': 20}",Non-Veg,Hearty Meal / Spicy,65,https://www.indianhealthyrecipes.com/wp-content/uploads/2019/02/chicken-biryani-500x375.jpg,"Marinate chicken with yogurt, ginger-garlic paste, biryani masala, chili powder, turmeric, salt, mint, and cilantro for at least 2 hours. Sauté sliced onions in oil/ghee until golden brown (for layering). Cook basmati rice to 70% doneness and drain. Layer the bottom of a heavy-bottomed pot with marinated chicken. Top with a layer of partially cooked rice. Sprinkle a little fried onion, mint, and saffron milk/color over the rice. Repeat layers until all ingredients are used, finishing with rice. Cover the pot tightly (use dough to seal if necessary) and cook on low heat (dum) for 20-30 minutes. Gently fluff the biryani before serving hot.",user_9,2
41,Ragi Sankati (Finger Millet Balls),"ragi flour (finger millet), rice (optional), water, salt","{'calories': 200, 'protein_g': 6, 'carbs_g': 45, 'fat_g': 2}",Veg,High Fiber / Traditional Staple,92,https://th.bing.com/th/id/OIP.9g1sh02_NzhBF1J7U2diLAHaE8?w=215&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"If using rice, cook 1/4 cup of rice with 2 cups of water until soft and mushy. Bring the water (or rice-water mixture) to a rolling boil and add salt. Reduce the heat to low and quickly add ragi flour in a continuous stream, stirring vigorously to prevent lumps. Stir constantly until the mixture forms a thick, dough-like ball (it should pull away from the sides). Cover and let it steam/cook for 5 minutes on low heat. Wet your hands and immediately divide the mixture into golf-ball sized rounds (sankati). Serve hot with a side of spicy curry or dal (pappu).",user_0,2
42,Bendakaya Fry (Okra Stir Fry),"okra (lady's finger), onion, oil, mustard seeds, cumin seeds, curry leaves, ginger-garlic paste, chili powder, coriander powder, salt","{'calories': 250, 'protein_g': 5, 'carbs_g': 30, 'fat_g': 12}",Veg,Side Dish / Quick Meal,80,https://th.bing.com/th/id/OIP.joTuLH-gAn-OjCsEUqrPMAHaE7?w=242&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash and thoroughly dry the okra. Chop into small rounds. Heat oil in a wide pan. Add mustard seeds, cumin seeds, and curry leaves. Add chopped onion and sauté until translucent. Add the chopped okra and stir-fry on medium-high heat. Do not cover, as this creates sliminess. Stir-fry for 10-15 minutes until the okra is dry and slightly crispy. Add ginger-garlic paste, chili powder, coriander powder, and salt. Mix well. Continue to fry for another 3-5 minutes until the spices are roasted and the okra is fully cooked. Serve hot as a side dish.",user_1,3
43,Rasam (Chaaru),"tamarind pulp, tomatoes, rasam powder, turmeric, ghee, mustard seeds, cumin seeds, asafoetida (hing), curry leaves, cilantro, salt","{'calories': 80, 'protein_g': 3, 'carbs_g': 15, 'fat_g': 2}",Veg,Digestive / Light Meal,90,https://th.bing.com/th/id/OIP.ac_e2s0U6taUKDyGF5mcfQHaLG?w=125&h=188&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Mix tamarind pulp, chopped tomatoes, rasam powder, turmeric, and salt with 3 cups of water in a pot. Bring the mixture to a boil and simmer for 10-15 minutes to allow the flavors to infuse. For tempering, heat ghee in a small pan. Add mustard seeds, cumin seeds, and asafoetida. Add curry leaves and a dry red chili (optional). Pour the tempering over the simmering rasam. Stir well. Garnish with chopped cilantro and serve hot with rice.",user_2,5
44,Bobbatlu (Poli/Puran Poli),"chana dal (bengal gram), jaggery, cardamom powder, maida (all-purpose flour) or wheat flour, ghee, turmeric (for color), oil/ghee (for cooking)","{'calories': 350, 'protein_g': 10, 'carbs_g': 50, 'fat_g': 12}",Veg,Traditional Sweet / Festive,60,https://th.bing.com/th/id/OIP._392ZdhnnHvsGufKWsC-OwHaE7?w=269&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cook chana dal until soft but not mushy. Drain excess water. Melt jaggery with a little water. Mix the cooked dal into the jaggery and cook until it forms a thick, dry mixture (puran). Add cardamom powder and mash well. Knead the flour with a pinch of turmeric, a little oil, and water into a smooth, elastic dough. Take a small ball of dough and flatten it. Place a small ball of the puran mixture inside and seal the edges. Roll out gently into a thin circle (bobbattu). Cook on a hot tawa with ghee on both sides until golden brown spots appear. Serve warm with ghee or milk.",user_3,3
45,Chicken Liver Fry,"chicken liver, onion, ginger-garlic paste, chili powder, coriander powder, garam masala, turmeric, oil, curry leaves, cilantro, salt","{'calories': 300, 'protein_g': 35, 'carbs_g': 5, 'fat_g': 15}",Non-Veg,High Protein / Side Dish,75,https://th.bing.com/th/id/OIP.IDyjRcM05vvuI1BbKhfIWQHaEK?w=308&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Wash chicken liver pieces thoroughly and set aside. Heat oil in a pan, add chopped onion and sauté until golden. Add curry leaves. Stir in ginger-garlic paste and cook until the raw smell is gone. Add turmeric, chili powder, coriander powder, garam masala, and salt. Cook for 2 minutes. Add the chicken liver pieces. Stir well to coat with spices. Cover and cook on medium-low heat for 10-12 minutes, stirring occasionally, until the liver is cooked through and the fry is dry. Garnish with fresh cilantro and serve hot with rice or roti.",user_4,1
46,Masala Vada (Paruppu Vada),"chana dal (bengal gram), onion, ginger, green chilies, fennel seeds, cilantro, oil (for frying), salt","{'calories': 200, 'protein_g': 8, 'carbs_g': 20, 'fat_g': 10}",Veg,High Protein Snack / Fried,68,https://tse3.mm.bing.net/th/id/OIP.oHnOXgInJahjmbkdlAgBXQHaE8?rs=1&pid=ImgDetMain&o=7&rm=3,"Soak chana dal for 3-4 hours. Drain completely. Grind the dal to a coarse paste, reserving 2 tablespoons of whole dal. Mix the ground dal with whole dal, chopped onion, ginger, green chilies, fennel seeds, chopped cilantro, and salt. Heat oil in a deep pan for frying. Shape the mixture into small, flat patties (vadas). Gently drop the vadas into the hot oil. Fry until golden brown and crispy, turning them occasionally. Drain excess oil and serve hot with coconut chutney.",user_5,4
47,Aratikaya Fry (Raw Banana Fry),"raw banana (plantain), oil, mustard seeds, urad dal, chana dal, curry leaves, ginger-garlic paste, chili powder, coriander powder, salt","{'calories': 280, 'protein_g': 5, 'carbs_g': 40, 'fat_g': 10}",Veg,Side Dish / Traditional,75,https://www.itslife.in/wp-content/gallery/recipe-side-dishes/recipes-sd-balekayi-fry-5.jpg,"Peel the raw banana and chop into small, even cubes or slices. Blanch the pieces in boiling water with a pinch of salt and turmeric for 5 minutes. Drain immediately. Heat oil in a wide pan/kadai. Add mustard seeds, urad dal, chana dal, and curry leaves for tempering. Add the blanched banana pieces and fry on medium-high heat until they start to brown and crisp. Stir in ginger-garlic paste, chili powder, coriander powder, and salt. Mix well to coat the pieces. Continue to fry for another 5-7 minutes until the pieces are fully cooked and crispy. Serve as a spicy side dish for sambar or rasam.",user_6,5
48,Ulavacharu (Horse Gram Soup),"horse gram (ulavalu), tamarind pulp, chili powder, onion, ghee, mustard seeds, cumin seeds, red chilies (dried), curry leaves, salt","{'calories': 150, 'protein_g': 10, 'carbs_g': 20, 'fat_g': 5}",Veg,Traditional / High Protein,88,https://th.bing.com/th/id/OIP.aqqyuijw1D1jyWbWHJ2RHgHaGA?w=205&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak horse gram overnight. Pressure cook it with plenty of water until very soft. Strain the broth (this is the 'charu' base) and reserve the cooked gram for other use. Mix the broth with tamarind pulp, chili powder, and salt. Bring to a boil and simmer for 15 minutes. For tempering, heat ghee. Add mustard seeds, cumin seeds, chopped onion, dried red chilies, and curry leaves. Pour the tempering into the simmering broth. Simmer for 5 more minutes. Serve hot, often mixed with rice or as a soup, sometimes with a dollop of fresh cream (jambalaya/malaie).",user_7,3
49,Chicken Fry (Kodi Vepudu),"chicken pieces (small), ginger-garlic paste, chili powder, coriander powder, cumin powder, garam masala, curry leaves, oil, salt","{'calories': 350, 'protein_g': 40, 'carbs_g': 5, 'fat_g': 20}",Non-Veg,Spicy / High Protein,70,https://th.bing.com/th/id/OIP.sog8Kgcr5T00eBPMkMR9uwHaE6?w=268&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Marinate chicken with ginger-garlic paste, chili powder, coriander powder, cumin powder, garam masala, and salt for at least 30 minutes. Heat oil in a wide, heavy-bottomed pan. Add curry leaves and let them splutter. Add the marinated chicken and cook on medium-high heat, stirring frequently. Cover and cook for 15-20 minutes until the chicken is tender and all the moisture has evaporated. Continue to fry until the chicken is dry, crispy, and dark brown. Stir occasionally to prevent burning. Serve hot as a dry side dish with biryani or rice.",user_8,2
50,Semiya Payasam (Vermicelli Kheer),"vermicelli (semiya), milk, sugar, ghee, cardamom powder, cashews, raisins","{'calories': 280, 'protein_g': 8, 'carbs_g': 45, 'fat_g': 8}",Veg,Dessert / Festive Sweet,60,https://th.bing.com/th/id/OIP.zwohwuKuMWFLKA9hQirHAgHaE6?w=337&h=183&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Heat a teaspoon of ghee in a pan. Fry cashews and raisins until golden. Set aside. In the same pan, add vermicelli and fry until light brown. Set aside. Boil milk in a heavy-bottomed pot. Add the roasted vermicelli and cook until soft (about 5-7 minutes). Stir in sugar and cardamom powder. Simmer until the sugar dissolves. Turn off the heat and stir in the fried cashews and raisins. Serve warm or chilled.",user_9,4
